0,1,2,3,4
226657965,"Management des organisations, Term STMG",Manuel conforme aux programmes et conçu pour accompagner la préparation du bac. Des situations d'organisations réelles permettent à l'élève de développer ses capacités d'analyse et d'apprendre à argumenter,Enseignement technique;Gestion d'entreprise;Organisation de l'entreprise,
231040628,"Négociations : techniques, valeurs et acteurs de la négociation : [actes du colloque ""Négociations : Techniques, valeurs et acteurs sociaux"" 10 décembre 2015, La défense]","La 4e de couv. indique : ""La négociation caractérise une grande partie de l'activité des femmes et des hommes en société : monde du commerce et de la diplomatie, sphères politique, juridique, citoyenne et entrepreneuriale, mais aussi familiale, conjugale et éducative, il est peu de domaines qui échappent aux logiques argumentatives, et à l'empire de la négociation. L'actualité nationale et internationale la plus immédiate nous rappelle que la négociation est partout présente, incontournable, indispensable. Ensemble de techniques, de valeurs, de stratégies, la négociation est dans ces pages analysée et théorisée par des spécialistes de tous horizons. Ces regards interdisciplinaires éclairent les logiques profondes de la négociation, via une réflexion croisée sur ses acteurs, ses « trucs », ses grandes heures, ses objectifs et son esthétique. Des pages indispensables pour saisir ce que négocier veut dire...""",Négociations,302.3
23349054X,L'Égypte de Moubarak à Sissi : luttes de pouvoir et recompositions politiques,"La 4e de couverture indique : ""Le soulèvement révolutionnaire de 2011 n'a pas abouti aux changements espérés par ses protagonistes. Toutefois, il a provoqué une rupture fondamentale et a constitué un moment clef de l'histoire contemporaine de l'Égypte. La transition qui s'est ouverte après la révolution du 25 janvier s'est en effet rapidement muée en lutte de pouvoir entre différents acteurs : révolutionnaires, militaires, Frères musulmans, libéraux, salafistes, juges, policiers, coptes… De janvier 2011 à juillet 2013, l'Égypte a vécu une période d'effervescence politique marquée par des débats intenses et d'âpres rivalités pour la redéfinition des modalités d'exercice du pouvoir. Cette période se caractérise par des problématiques spécifiques de politique intérieure et extérieure, nées ou réapparues à la faveur de la révolution, qui sont autant d'enjeux pour les acteurs prétendant exercer leur influence sur la construction d'une Égypte nouvelle. Cet ouvrage propose une analyse des luttes et dynamiques inhérentes à la révolution et à la transition, en étudiant le rôle des divers acteurs politiques, les enjeux qui ont régi leurs interactions et il montre in fine comment et pourquoi le processus révolutionnaire, après avoir permis l'accession au pouvoir des Frères musulmans, a abouti à une reconfiguration autoritaire en Égypte. En analysant la transition enclenchée par la révolution et les recompositions qu'elle a produites, ce livre apporte un éclairage indispensable à la compréhension des grands problèmes politiques, économiques et sociaux de l'Égypte d'aujourd'hui et de demain.""",Coups d'État;Despotisme,320.956
234223812,Les  niveaux marins extrêmes : ports de métropole,"La connaissance des valeurs extrêmes de niveau d'eau est une donnée d'entrée essentielle dans le cadre de l'application des politiques publiques en matière d'aménagement du littoral ou de prévention des risques naturels. Ce rapport présente une estimation statistique des valeurs extrêmes de niveau d'eau aux marégraphes portuaires de métropole. Seuls les marégraphes possédant plus de dix ans de données sont étudiés, soient 28 marégraphes (21 pour les façades de mer du Nord, Manche et Atlantique, 7 pour la façade méditerranéenne). La méthode s'appuie sur la théorie des valeurs extrêmes et permet d'estimer les niveaux associés à des périodes de retour jusqu'à 1000 ans. Les intervalles de confiance calculés représentent l'incertitude d'échantillonnage. Le rapport présente aussi certains résultats intermédiaires, à savoir un relevé des tempêtes ayant produit les plus forts niveaux d'eau et, pour les ports de mer du Nord, Manche et Atlantique, une estimation des périodes de retour associés aux surcotes de pleine mer.",Limnimétrie,551.458 0944
237000350,Les  incroyables pouvoirs de votre cerveau,"Vous avez des douleurs ou des problèmes chroniques ? Du mal à trouver le sommeil ? Le stress empoisonne votre vie ? Vous avez du mal à vous concentrer et à garder une attention soutenue ? Sans le savoir, vous possédez déjà la solution, juste au coeur de votre cerveau. Nous n'utilisons consciemment qu'une infime partie de ses capacités bien que la majorité restante ait un fabuleux potentiel d'adaptation qui ne demande qu'à être exploité. Dans ce livre, l'auteur explique que le cerveau est capable de se reprogrammer pour surpasser et résoudre les difficultés et les blocages. Cette capacité nécessite seulement d'être stimulée. En suivant un programme d'entraînement et des exercices simples de contrôle et de plasticité mentale et à l'aide d'une méthode originale, vous saurez le faire sans difficulté. Tout le monde peut bénéficier de ces extraordinaires capacités qui, jour après jour, vont révolutionner votre vie...",Réalisation de soi,158.1
237205300,L'économie au XXIe siècle : critique de la raison en économie,"La 4e de couverture indique : ""La crise de la culture actuelle en France semblerait moins affecter les sciences économiques que d'autres savoirs majeurs tels que la psychologie, la psychanalyse, voire la philosophie. D'ailleurs, des sondages pertinents montrent l'attirance croissante d'un public éclairé vers ce type d'ouvrages consacrés à l'économie, surtout du reste ceux relevant du courant dit des économistes ""hétérodoxes"". On examine ici une vingtaine de ces ouvrages parus comme en cohorte en moins d'une dizaine d'années (2011-2018). Le réseau du dialogue serré qui se tisse entre eux aboutit à la proposition d'une trentaine de ""solutions"" susceptibles de contrôler voire de repousser les menaces, ressenties par beaucoup, d'une prochaine crise financière majeure, encore plus catastrophique que celle de 2007. Un tel risque serait l'horizon de la panne sociale française en cours, en lien, éprouvé mais mal expliqué, avec la panne de l'Europe économique et politique. Ceci étant, on s'étonne, devant une telle liste de propositions précises pour une politique alternative, que les divers réprésentants d'une opposition sérieuse soient comme incapables de s'en emparer, et de les expliquer à un public potentiel pourtant capable de les comprendres sans délai. Le tome 1, intitulé Analyse, envisage, par rapport au corpus 2011-2018 des économistes ""hétérodoxes"", 1. L'environnement interdisciplinaire de l'économie (psychologie, sociologie, morale, philosophie), 2. Les chiffres et les données significatifs de l'économie actuelle, 3. Une chronologie commentée, 4. La présence latente de Marx et Hegel dans le champ de la recherche économique, 5. La relation effective de vassalité de la France à l'égard de l'empire européen de l'Allemagne.""",Raison -- Aspect économique;Économie politique -- Allemagne;Économie politique -- France;Économistes,330.01
237315475,Au temps des dinosaures : les géants de l'ère secondaire,"Il y a 150 millions d'années, des reptiles géants régnaient sur notre planète. Ils colonisèrent la terre ferme, le ciel et les océans. Ces animaux aux dimensions spectaculaires ont laissé des traces sur tous les continents.",Dinosaures,567.908 3
240725409,"Octavie Belot, présidente Durey de Meinières : études sur la vie et l'oeuvre d'une femme des Lumières","Octavie Guichard, dame Belot puis présidente Durey de Meinières, était récemment encore presque complètement oubliée. Seuls les spécialistes connaissaient ses opuscules philosophiques et sa traduction de l'Histoire d'Angleterre de Hume. Quant à sa vie, ils en ignoraient pratiquement tout. Cet ouvrage a pour but d'examiner ses traductions de l'anglais ainsi que la réaction des critiques tels que Grimm ou Fréron, de reconstituer, grâce à de nombreux documents d'archives, l'ensemble d'un destin, et de redonner sa place à une écrivaine de talent. La publication d'une vingtaine de lettres inédites nous fait toucher du doigt les nombreux obstacles auxquels se heurtent au XVIIIe siècle les femmes qui veulent écrire. L'histoire de la nouvelle inédite, Le Triomphe de l'amitié, témoigne à la fois de ces difficultés et de la persistance d'une ambition. François-Antoine Devaux, surnommé Panpan (1712-1796), est moins connu pour son unique pièce et son discours de réception à l'Académie Stanislas que pour ses petits vers de circonstance et ses lettres à Mme de Graffigny. Avant le départ de Lorraine de celle-ci, Devaux a passé l'hiver de 1733-1734 à Paris et lui a raconté ses expériences dans une vingtaine de lettres, dispersées aujourd'hui dans quatre collections. Il relate les nouvelles politiques, militaires, sociales, théâtrales et littéraires ainsi que ses efforts pour publier leurs oeuvres. Cette série de lettres au contenu fort riche révèle qu'il a créé un nouveau journal, Les Amusemens du coeur et de l'esprit, qui comporte le début d'un roman inconnu de Mme de Graffigny.",Femmes écrivains françaises,840.71
244276188,"Dynamiser ses parcs d'activités économiques : méthodes, outils, et bonnes pratiques","La 4e de couv. indique : ""Les zones d'activités sont souvent mal perçues et mal aimées : verrues au milieu du paysage pour les protecteurs de l'environnement, grignoteurs de terrains pour les agriculteurs, sans parler des riverains qui ne souhaitent pas que des entreprises s'installent à côté de chez eux ? Not in my back yard !, comme disent nos voisins anglo-saxons. Pourtant ces équipements sont indispensables pour accueillir et ancrer les entreprises sur le territoire, et ainsi favoriser le développement économique et la création d'emplois au niveau local. Cet ouvrage vous propose de changer de paradigme, mais aussi de sémantique, en passant de la zone d'activités au parc d'activités. Et cela change tout ! Aménager dans un souci de qualité et d'optimisation foncière, intégrer le développement durable non seulement dans la conception mais encore dans la gestion du site, commercialiser dans la durée, apporter des services aux salariés pour améliorer leur quotidien, accompagner les entreprises et animer l'écosystème pour favoriser le développement des entreprises et du territoire : cet ouvrage a été conçu pour apporter des solutions à chacun de ces enjeux.""",Géographie économique;Parcs d'activités économiques,
24939491X,"Mon grand guide 2021 IFAS pour entrer en école d'aide-soignant : épreuve orale, 50% cours, 50% entraînement","Destiné aux lycéens de Première et de Terminale qui souhaitent entrer en Institut de formation d'Aide-soignant, cet ouvrage est le meilleur outil pour les accompagner dans la nouvelle procédure de sélection. Préparer son dossier de candidature : Quelles sont les démarches à faire ? Quel est le calendrier ? Que doit contenir votre dossier ? Découvrir la formation en IFAS : Quel est le programme ? Comment se déroule-t-elle ? Quelle part de formation pratique ? Découvrir le métier d'aide-soignant : Quel est son rôle ? Où et avec qui exerce-t-il ? Quelle est sa rémunération ? Quelles évolutions de carrière ? Développer sa culture sanitaire et sociale : 39 fiches de cours synthétiques et illustrées ; plus de 200 QCM corrigés. Préparer son entretien de motivation : Comment se déroule-t-il ? Comment mettre en avant ses atouts ? Comment répondre aux questions types du jury ? Comment gérer son stress ?",Écoles d'aides-soignants,
250677911,Apparence et réalité : essai de métaphysique,"Longtemps négligée dans un siècle qui fut oublieux, la philosophie de Francis Herbert Bradley, qui a pourtant eu une influence notable dans la gestation du pragmatisme américain, l'émergence du néo-réalisme anglais et suscité quelques réflexions notables dans la philosophie réflexive française du XXe siècle, a été redécouverte dans les pays anglo-saxons depuis une trentaine d'années. Publié initialement en 1893, puis réédité avec des notes substantielles en 1897, Apparence et réalité, ouvrage phare du mouvement idéaliste britannique de la fin du XIXe siècle, est le livre le plus connu du philosophe, et l'ouvrage de métaphysique sur lequel toute une génération de philosophes s'est interrogée. Cet essai, devenu un classique indispensable de la philosophie britannique, n'avait jamais été traduit en français.",Apparence (philosophie);Métaphysique;Réalité,192
250858312,Ces génies qui ont changé le monde,"Avec SECRETS d'HISTOIRE Junior, vous saurez tout sur les génies qui ont révolutionné notre connaissance du monde, grâce à leurs innombrables découvertes ou inventions  ! De Léonard de Vinci à Albert Einstein ou Alan Turing, revivez les innovations et avancées marquantes qu'ont permises ces grands découvreurs.Assistez à l'invention de l'imprimerie par Gutenberg, des machines volantes par Léonard de Vinci, de la dynamo par Faraday, de l'ampoule électrique par Edison, du courant alternatif par Tesla, du Cinématographe par les frères Lumière… admirez aussi la découverte par Copernic de la rotation de la Terre autour du Soleil, de la chute des corps par Galilée et l'attraction universelle par Newton, de la classification des espèces par Linné et de leur évolution par Darwin, de la vaccination par Pasteur, de la pénicilline – premier antibiotique - par Fleming, des radiations par Marie Curie, de la relativité par Einstein et de l'informatique par Turing…Avec SECRETS D'HISTOIRE Junior, l'histoire devient vivante, passionnante et divertissante  !",Découvertes scientifiques -- Histoire;Inventeurs,604.83
25336180X,"L'enfant et ses complexes : le développement, le langage, l'école, les écrans, les parents","Au cours du développement de l’enfant, des processus affectifs qui échappent à sa conscience comme à ceux qui l’entourent peuvent se jouer. Et certaines de ses interrogations et attitudes peuvent dérouter ses parents. Dans cet ouvrage, les auteurs abordent les complexes les plus fréquents chez l’enfant et l’adolescent et en analysent les mécanismes. Ils se penchent aussi sur les comportements et réactions que les parents et éducateurs adoptent face à ces fameux «?complexes?», et aux répercussions qu’ils peuvent avoir. S’appuyant sur des témoignages réels issus de leur pratique, les deux auteurs décortiquent des situations éducatives concrètes pour en exposer les enjeux. Quarante ans après sa première édition, cet ouvrage présente une actualisation nécessaire de la problématique : la société s’étant transformée, les enfants grandissent en faisant face à de nouvelles réalités. Les auteurs proposent donc des pistes de réflexion pour aborder les complexes et les interrogations de l’enfant aux adultes qui les accompagnent dans ce cheminement. Une lecture indispensable pour tous ceux qui sont au contact d’enfants et d’adolescents et qui souhaitent les aider à vivre sereinement les étapes charnières de leur vie.",Complexes (psychologie) -- Chez l'adolescent;Complexes (psychologie) -- Chez l'enfant,
254248748,Pandémie : une esquisse politique et philosophique du monde d'après,"Qui aurait cru qu'un virus apparu dans un marché chinois de Wuhan allait mener à une pandémie mondiale qui a coûté la vie à des centaines de milliers d'individus en l'espace de quelques mois et forcé presque tous les pays à imposer des quarantaines, à confiner des villes entières et à fermer leurs frontières ? Et pourtant, ce sont les images qui nous resteront en tête lorsque nous repenserons à l'année 2020. En raison des dimensions et des effets de cette crise, il est clair que nos sociétés en ont des leçons à tirer et il est tout aussi évident qu'elle entraînera de profondes transformations dans l'ordre international. Quelles sont ces leçons et à quelles sortes de changements devons-nous nous attendre ? Ce livre cherche précisément à répondre à ces questions. Ces essais portent un regard critique sur l'évolution des démocraties libérales, montrent le potentiel que cette crise sanitaire globale nous offre pour reprendre le contrôle de la mondialisation telle que nous la connaissons depuis 50 ans, en plus d'expliquer en quoi cette pandémie pourrait accélérer la fin de l'ordre libéral international. En tant que premier livre portant sur cette pandémie, ces essais critiques et sans complaisance seront d'un intérêt pour tout lecteur intéressé à comprendre les enjeux politiques de cette crise et à s'interroger sur la manière dont les sociétés ont cherché à combattre ce virus mortel.",Covid-19 -- Influence;Histoire économique;Politique et gouvernement,
254801455,"Femmes de nazis : dans l'ombre de Goebbels, Goering, Himmler ...","Goering, Goebbels, Himmler, Heydrich, Hess, Bormann... derrière ces noms synonymes de pouvoir et d'influence dans l'Allemagne hitlérienne, se cachent Emmy, Magda, Margarete, Lina, Ilse et Gerda. Compagnes des plus hauts dignitaires nazis, elles ont participé à la conquête du pouvoir, se sont tenues au côté de leurs époux, les ont encouragés parfois. Ferventes idéologues, personnalités fascinées par Hitler ou en quête de pouvoir et de richesse, elles jouèrent un rôle déterminant dans la conduite des affaires du Troisième Reich. Et pourtant, écartées des grands procès qui ont suivi la Seconde Guerre mondiale, elles furent largement reléguées au second plan de l'Histoire. Explorant pour la première fois le destin de ces femmes de nazis, James Wyllie pose une question fondamentale : pourquoi ne tient-on pas les femmes autant responsables de l'Histoire que les hommes ? Payot.ch. vdbcul/12.2020",National-socialisme et femmes,943.086 082
255077874,Sociologie des intellectuels,"Cet ouvrage présente quelques-unes des principales figures sociales d'intellectuels, de l'Antiquité jusqu'à nos jours, avant d'étudier la façon dont les intellectuels se sont constitués comme groupe social et sont devenus, à la fin du XIXe siècle en Europe, un objet d'interrogation politique et scientifique (chez Durkheim, Weber, Gramsci, Mannheim). Il aborde par ailleurs la question de l'analyse des productions intellectuelles (comme celles d'Apollinaire, de Bergson, de Heidegger, de Kafka, de Sartre), en se demandant en quoi la sociologie peut rendre compte de leur contenu. Et il se penche enfin sur le problème de l'engagement politique et civique des intellectuels.",Classes sociales;Intellectuels -- Sociologie,305.552
255357230,Des peines et des hommes : une équipe d'éducateurs de prévention spécialisée en maison d'arrêt,"Ce modeste ouvrage ne décrit pas, après tant d'autres, la condition carcérale : il raconte. Il s'agit de récits, ponctués de réflexions sur les enjeux, les difficultés mais aussi les moments de découverte, voire de compréhension mutuelle, relatant une expérience de trois ans au sein de la maison d'arrêt de Strasbourg, à l'intention de jeunes détenus volontaires. Qu'allaient donc faire ces éducateurs de prévention spécialisée dans un espace clos, alors qu'une grande part de leur mission se déroule ""en milieu ouvert"", en particulier dans l'espace emblématique de la rue ? ils s'en expliquent dans ce texte : les jeunes avec lesquels ils cherchent obstinément à établir des relations de confiance, sont généralement des jeunes déjà malmenés par la vie, en situation de très grande fragilité affective et socio-économique, souvent déscolarisés. Or ce sont des jeunes semblables qu'ils ont pu rencontrer en maison d'arrêt, dans le cadre de stages où leur étaient proposées les activités décrites ici (chantier de rénovation, jeux coopératifs, pratique de la boxe, discussion autour d'un film, etc.). Pourquoi cette présence d'éducateurs en maison d'arrêt ? Pour faire brêche, autant que possible, dans un quotidien répétitif, désespérant même, et pour tenter de rendre aux stagiaires impliqués assez d'estime d'eux-mêmes pour pouvoir échapper à l'impression qu'une fatalité s'acharne contre eux. C'est un peu de cela que ces éducateurs ont voulu témoigner, s'appuyant sur l'exemple de pratiques anciennes relevant de l'éducation populaire, référence qui figure en bonne place dans le nom de leur association : JEEP, c'est-à-dire Jeunes équipes d'éducation populaire.",Jeunes délinquants;Travailleurs sociaux;Éducateurs spécialisés,
255479107,Instrumentation et régulation : BTS,"Conçu pour faciliter aussi bien l'apprentissage que la révision avant les examens ou les concours, cet ouvrage permet de comprendre facilement et de réviser rapidement l'essentiel des notions d ’instrumentation et de régulation utiles aux étudiants de BTS et de DUT industriels, présentées en fiches pédagogiques. Chaque fiche comprend un rappel de cours concis et illustré, avec les idées clés à connaître, suivi d' exercices d'application dont la résolution détaillée est appuyée par des conseils méthodologiques. Au sein des fiches, des encarts font le lien entre notions théoriques et applications pratiques",Capteurs (technologie);Commande automatique;Procédés de fabrication;Régulateurs (machines),
255487002,Le temps des mortels : espaces rituels et deuil,"Bien des gens ne savent pas trop à quoi s'en tenir lorsque, devant la mort, le terme rite est énoncé. Cet essai, qui repose sur plus de quarante ans de recherches en socioanthropologie de la mort, invite nos contemporains à comprendre pourquoi et veut les aider à choisir de façon quelque peu éclairée les manières de disposer des restes humains, de saluer la mort de leurs proches et d'aménager les traces matérielles du souvenir. Bref, de se refabriquer, soi, et avec les autres, à travers le passage de la mort et de nos morts. Il tient dès lors le pari de répondre à ces questions que maints concitoyens se posent : d'où vient ce besoin de ritualiser, et encore plus, lors de la mort d'un membre du groupe? Comment s'explique dans les mentalités la montée de la crémation? Dans la palette des choix de disposition qui s'offrent, comment laisser place à la volonté des premiers concernés, soit, mais aussi aux personnes qui leur survivent? Que penser des formes de communications relatives à la mort sur les réseaux sociaux et des sites commémoratifs en ligne? Quelles sont les conséquences de ces pratiques sur les moments du rituel, sur le sort des restes humains, sur les lieux du souvenir ? Et sur l'expérience du deuil? Pour cela, Le Temps des mortels entraîne les lecteurs à tisser une série de liens entre les significations des pratiques récentes et celles issues de cultures millénaires. Ils pourront y trouver des clés pour les guider dans la diversité parfois déroutante des initiatives actuelles émanant d'entreprises et de tendances diverses. Ils auront également le loisir de s'inspirer d'une proposition articulant les facettes d'un rite davantage en concordance avec les désirs contemporains.",Deuil -- Anthropologie;Mort -- Anthropologie;Rites et cérémonies funéraires,306.9
256639531,Mission Climat,"Un ouvrage sur un sujet... brûlant, à lire de toute urgence !Réchauffement climatique, phénomène d'emballement, hausse des températures, fonte de la banquise, effet ""cocotte-minute""… Pas un jour sans parler du climat. Certaines espèces animales et végétales ont déjà disparu, et des hommes et des femmes commencent aussi à souffrir sous certaines latitudes de la Planète Bleue, au point de devenir des réfugiés climatiques. Vraiment, il y a urgence!Mais avant de tomber dans le catastrophisme, si nous expliquions de quoi il s'agit pour bien comprendre le phénomène de réchauffement climatique et ses conséquences en chaîne ? Et si nous mettions en lumière les « bons gestes » et les initiatives qui permettront peut-être de minimiser la catastrophe annoncée ? Parce que le monde d'aujourd'hui doit agir pour protéger la planète, ce livre documentaire aux illustrations pleines de vie, aborde un sujet ô combien actuel, et délivre un message porteur d'espoir. Cet ouvrage est réalisé en partenariat avec l'ONG Climate Chance, qui réunit à égalité l'ensemble des acteurs non-étatiques reconnus par la Convention cadre des Nations Unies sur les Changements Climatiques pour faire émerger des priorités et des propositions communes.",Changements climatiques,
256933901,Les addictions,"Pour faire comme les autres, Andréa a fumé une première cigarette, et très vite elle ressent l'envie d'en griller une autre. Mathieu se détend en jouant aux jeux vidéo, mais s'isole de plus en plus. Les deux frères Baptiste et Arthur aiment partager des verrres entre amis, mais bientôt l'alcool devient indispensable pour faire la fête. Elina est très active sur les réseaux sociaux et ses parents se posent des questions.",Dépendance (physiologie);Dépendance (psychologie),
